mode,zone,T
Day,Urban,38.212786040000026
Day,Urban,41.900829620000025
Day,Urban,40.26701606000006
Day,Urban,38.33583476000001
Day,Urban,40.38664676000002
Day,Urban,34.44270998000002
Day,Urban,37.495001839999986
Day,Urban,39.634682360000056
Day,Urban,36.04576136000003
Day,Urban,35.66977916000002
Day,Urban,33.88557272000003
Day,Urban,34.32307928
Day,Urban,35.69028728000001
Day,Urban,40.082442979999996
Day,Urban,36.01158115999999
Day,Urban,35.184420320000015
Day,Urban,35.071625659999995
Day,Urban,35.235690620000014
Day,Urban,34.165850360000036
Day,Urban,35.83726214000001
Day,Urban,38.52040784000002
Day,Urban,37.11560162000001
Day,Urban,35.63218094000001
Day,Urban,36.756709520000015
Day,Urban,35.03060942000002
Day,Urban,35.365575379999996
Day,Urban,35.54331242000001
Day,Urban,35.49546013999998
Day,Urban,37.06091330000004
Day,Urban,37.426641440000026
Day,Urban,35.49204212000001
Day,Urban,33.906080840000016
Day,Urban,34.599938899999984
Day,Urban,36.56188238000004
Day,Urban,36.428579600000035
Day,Urban,37.08142142000003
Day,Urban,34.96224902000006
Day,Urban,35.02035536000005
Day,Urban,34.777675939999995
Day,Urban,38.28798247999998
Day,Urban,36.67125901999998
Day,Urban,36.64733288000002
Day,Urban,39.30313441999999
Day,Urban,39.69620672000002
Day,Urban,39.788493259999996
Day,Urban,34.51107037999998
Day,Urban,36.65416892000002
Day,Urban,38.39052307999998
Day,Urban,35.94322076000003
Day,Urban,34.09748996000002
Day,Urban,36.14488394
Day,Urban,36.168810080000014
Day,Urban,36.661004960000014
Day,Urban,37.41638738000006
Day,Urban,37.94276246000004
Day,Urban,36.67125901999998
Day,Urban,38.411031200000025
Day,Urban,39.07412708000004
Day,Urban,36.68151308000006
Day,Urban,38.40761318
Day,Urban,39.95597624000004
Day,Urban,36.81481586000001
Day,Urban,33.74543390000002
Day,Urban,37.24548637999999
Day,Urban,33.65656538000002
Day,Urban,33.759105980000015
Day,Urban,34.165850360000036
Day,Urban,34.38460364000002
Day,Urban,35.20834646000003
Day,Urban,37.52918204000002
Day,Urban,36.606316640000045
Day,Urban,35.61850886000002
Day,Urban,35.02377338000002
Day,Urban,34.545250580000015
Day,Urban,37.884656120000045
Day,Urban,39.61759226000004
Day,Urban,32.808896419999996
Day,Urban,36.79772576000005
Day,Urban,33.26007506000002
Day,Urban,33.465156260000015
Day,Urban,33.99836737999999
Day,Urban,34.34358740000005
Day,Urban,34.50081632000001
Day,Urban,38.000868800000035
Day,Urban,37.48816580000005
Day,Urban,38.36659694000002
Day,Urban,37.09167548000005
Day,Urban,33.888990740000054
Day,Urban,35.29037893999998
Day,Urban,36.28502276000006
Day,Urban,36.83190596000003
Day,Urban,40.15422139999998
Day,Urban,37.90858226
Day,Urban,39.166413620000014
Day,Urban,38.759669239999994
Day,Urban,36.380727320000005
Day,Urban,32.24492312000001
Day,Urban,31.72196606
Day,Urban,34.00520342000004
Day,Urban,37.01306102000001
Day,Urban,41.606879900000024
Day,Urban,37.60437848000004
Day,Urban,37.50183788000004
Day,Urban,36.117539780000016
Day,Urban,38.458883480000054
Day,Urban,33.26349307999999
Day,Urban,33.639475280000056
Day,Urban,35.28354290000004
Day,Urban,35.14682210000001
Day,Urban,36.691767140000024
Day,Urban,39.4364372
Day,Urban,36.35680118000005
Day,Urban,34.75716782000001
Day,Urban,36.04234334
Day,Urban,37.43689549999999
Day,Urban,35.28012488000002
Day,Urban,35.58432865999998
Day,Urban,37.94959849999998
Day,Urban,37.53601808000002
Day,Urban,37.443731540000044
Day,Urban,34.45638206000001
Day,Urban,35.64927104000003
Day,Urban,37.35486302000004
Day,Urban,39.378330860000005
Day,Urban,37.26941252000006
Day,Urban,37.06091330000004
Day,Urban,34.34358740000005
Day,Urban,40.27043408000003
Day,Urban,39.69962473999999
Day,Urban,38.506735760000026
Day,Urban,34.514488400000005
Day,Urban,35.003265260000035
Day,Urban,34.39143968000002
Day,Urban,34.189776499999994
Day,Urban,35.755229660000055
Day,Urban,33.7796141
Day,Urban,32.43291422000004
Day,Urban,36.36705524000001
Day,Urban,39.60050216000002
Day,Urban,36.92077447999998
Day,Urban,37.10876558000001
Day,Urban,33.66681944000004
Day,Urban,33.64972934000002
Day,Urban,33.413885960000016
Day,Urban,34.24104680000005
Day,Urban,33.615549139999985
Day,Urban,32.37822590000002
Day,Urban,33.01397761999999
Day,Urban,36.76354556000001
Day,Urban,34.856290400000034
Day,Urban,36.00816314000002
Day,Urban,36.052597400000025
Day,Urban,37.036987160000024
Day,Urban,36.48326792
Day,Urban,37.35828104000001
Day,Urban,36.99255290000002
Day,Urban,35.17074824000002
Day,Urban,34.48714424000002
Day,Urban,33.560860820000016
Day,Urban,34.35384146000001
Day,Urban,35.885114420000036
Day,Urban,33.348943580000025
Day,Urban,33.089174060000005
Day,Urban,33.383123780000005
Day,Urban,35.235690620000014
Day,Urban,33.468574279999984
Day,Urban,34.449546020000014
Day,Urban,34.57259474
Day,Urban,35.01351932
Day,Urban,39.53214176000006
Day,Urban,39.56290394000001
Day,Urban,34.62044702000003
Day,Urban,33.789868160000026
